id,user_id,restaurant_id,total_price,order_time
1,1,1,1800.00,2024-01-15 12:30:00
2,2,1,950.00,2024-01-15 13:00:00
3,3,2,1400.00,2024-01-16 19:00:00
4,1,3,1350.00,2024-01-17 20:00:00
5,4,4,2150.00,2024-01-18 12:00:00
6,5,2,2000.00,2024-01-19 14:00:00
7,6,1,1750.00,2024-01-20 18:30:00
8,7,3,750.00,2024-01-21 19:00:00
9,8,4,1200.00,2024-01-22 12:30:00
10,9,5,1350.00,2024-01-23 13:00:00
11,1,2,650.00,2024-02-01 12:00:00
12,2,4,1200.00,2024-02-03 13:30:00
13,3,5,1600.00,2024-02-05 19:00:00
14,4,1,900.00,2024-02-07 20:00:00
15,5,3,1400.00,2024-02-09 18:00:00
16,6,5,800.00,2024-02-11 19:30:00
17,7,2,1950.00,2024-02-13 12:00:00
18,8,1,1750.00,2024-02-15 13:00:00
19,9,4,950.00,2024-02-17 18:00:00
20,10,3,650.00,2024-02-19 19:00:00
